Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Rel_Yield,Profit_per_Ha,Revenue_per_Ha,Cost_per_Ha,Water_per_Ha,Is_Profitable,Breakeven_Yield,Yield_vs_Breakeven
SF10001,Andhra Pradesh,Rajkot,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91.0,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810,-11852,237,5.485,55.3,1.1106094808126412,-22362.264150943396,58132.07547169811,80494.3396226415,447.1698113207547,False,3.3963856380861395,0.7242993764943041
SF10002,Maharashtra,Nalgonda,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32.0,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401,-451950,4953,0.396,49.9,0.10526315789473684,-69211.33231240428,6186.98315467075,75398.31546707504,758.4992343032159,False,3.6578040783522554,0.08201642121169653
SF10003,Telangana,Warangal,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466,-124744,1275,1.984,33.7,0.5531914893617021,-25667.489711934155,39190.534979423865,64858.02469135802,262.34567901234567,False,0.8615228496653696,0.6035823660416866
SF10004,Telangana,Indore,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740,-95704,3834,2.16,50.6,0.7479674796747968,-21267.555555555555,44608.88888888889,65876.44444444444,852.0,False,2.7172267135969492,0.677161015233906
SF10005,Karnataka,Ludhiana,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69.0,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607,-144352,3287,2.829,32.3,0.775438596491228,-34287.88598574822,45987.410926365796,80275.29691211402,780.7600950118765,False,3.8560523062788943,0.5731250056959571
SF10006,Gujarat,Raichur,Pulses,Zaid,5.46,356.0,33.6,49.0,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570,-32763,1093,3.596,57.1,0.7659574468085106,-6000.549450549451,49371.794871794875,55372.344322344325,200.1831501831502,False,0.8072594043465707,0.8919066115839157
SF10007,Telangana,Warangal,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102,-41239,2368,8.687,31.6,1.1422121896162527,-5072.447724477244,58069.12669126691,63141.57441574415,291.26691266912667,False,2.7511469833882685,0.9196164418972964
SF10008,Tamil Nadu,Ludhiana,Pulses,Kharif,5.34,860.2,29.0,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265,5065,1704,3.697,54.2,1.2553191489361701,948.501872659176,82633.89513108614,81685.39325842696,319.1011235955056,True,1.1662344487368574,1.0118034167812928
SF10009,Karnataka,Guntur,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834,230705,5079,2.103,54.7,1.2338709677419355,33052.29226361031,108285.67335243552,75233.3810888252,727.6504297994269,True,1.0630538086055759,1.439249817473421
SF10010,Tamil Nadu,Raichur,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907,1954835,5984,5.239,41.7,1.472668810289389,142792.9145361578,216136.376917458,73343.46238130023,437.1073776479182,True,0.7770833982952462,2.9469166437267447
SF10011,Maharashtra,Krishna,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70.0,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857,-148902,2371,2.855,33.5,0.6501128668171557,-31681.27659574468,29969.574468085106,61650.85106382979,504.46808510638294,False,2.9631284756238485,0.48597285330222695
SF10012,Telangana,Rajkot,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097,-579415,7467,2.563,35.0,0.4771929824561404,-41180.881307746975,27370.07818052594,68550.95948827291,530.7036247334755,False,3.407105342359489,0.39916582064297806
SF10013,Punjab,Indore,Wheat,Rabi,6.04,431.5,24.1,59.8,9.0,8.23,27.0,162.3,60.1,113.0,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063,-293090,1411,1.283,49.6,0.13544018058690746,-48524.834437086094,6964.07284768212,55488.90728476821,233.60927152317882,False,2.3877493560294423,0.12564132799049987
SF10014,Gujarat,Indore,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880,143249,1556,8.843,50.6,1.393617021276596,13642.761904761905,94845.71428571429,81202.95238095238,148.1904761904762,True,1.121975162431121,1.1675837789149117
SF10015,Punjab,Indore,Rice,Kharif,4.38,762.0,25.0,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809,28876,3404,4.271,43.6,1.3495934959349594,6592.6940639269405,72102.51141552512,65509.817351598176,777.1689497716895,True,3.016105771252218,1.1007571523665802
SF10016,Andhra Pradesh,Warangal,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15.0,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641,-44486,1455,4.983,29.7,1.1263157894736842,-19684.07079646018,60903.09734513275,80587.16814159293,643.8053097345133,False,4.244781045119459,0.7562227511571595
SF10017,Telangana,Indore,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654,32898,4210,0.933,32.3,0.8064516129032259,8370.992366412213,64034.096692111954,55663.104325699744,1071.2468193384223,True,0.8692742031686251,1.1503849951544187
SF10018,Maharashtra,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819,-386046,3453,4.923,43.0,0.5403508771929825,-34967.934782608696,30961.865942028988,65929.80072463768,312.7717391304348,False,3.27894766621762,0.46966287869316425
SF10019,Punjab,Nalgonda,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1,0.8071428571428572,17178.048780487807,75676.82926829268,58498.78048780488,495.9349593495935,True,0.8735594254965935,1.2935582480351893
SF10020,Madhya Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3,1.170212765957447,-1708.4254143646408,76049.24033149172,77757.66574585636,331.6988950276243,False,1.124852311627242,0.9779061558834423
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8,0.6504065040650407,-28608.42105263158,32677.894736842107,61286.31578947369,1909.4736842105265,False,3.000700929762715,0.533208752705163
SF10022,Punjab,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7,0.975609756097561,-30150.71174377224,45990.747330960854,76141.4590747331,1485.7651245551601,False,3.9739801187230217,0.6039285372094925
SF10023,Andhra Pradesh,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32.0,0.5643340857787811,-34874.18586179508,30277.283558379666,65151.46942017474,481.65210484511516,False,2.6902084986445924,0.4646480005656764
